"SPECIES","YEAR","NSITES","TR0OBS","TRMOBS","TR0SE","TIME_PERIOD","COUNTRY","SITES"
17,1984,61,1.81,1.83,0.0598,"1976-2021","England","All"
17,1985,72,1.73,1.75,0.0597,"1976-2021","England","All"
17,1986,83,1.9,1.92,0.0585,"1976-2021","England","All"
17,1987,102,2.01,2.03,0.0579,"1976-2021","England","All"
17,1988,115,1.79,1.81,0.0584,"1976-2021","England","All"
17,1989,138,1.9,1.92,0.0579,"1976-2021","England","All"
17,1990,153,1.85,1.87,0.0579,"1976-2021","England","All"
17,1991,174,1.92,1.94,0.0577,"1976-2021","England","All"
17,1992,187,2.09,2.11,0.0575,"1976-2021","England","All"
17,1993,196,1.86,1.88,0.0578,"1976-2021","England","All"
17,1994,210,1.92,1.95,0.0576,"1976-2021","England","All"
17,1995,239,2.08,2.1,0.0574,"1976-2021","England","All"
17,1996,259,2.14,2.16,0.0574,"1976-2021","England","All"
17,1997,270,2.16,2.18,0.0573,"1976-2021","England","All"
17,1998,285,1.75,1.77,0.0577,"1976-2021","England","All"
17,1999,280,1.8,1.83,0.0576,"1976-2021","England","All"
17,2000,309,1.76,1.78,0.0577,"1976-2021","England","All"
17,2001,294,1.84,1.86,0.0577,"1976-2021","England","All"
17,2002,338,1.89,1.91,0.0575,"1976-2021","England","All"
17,2003,368,2.07,2.1,0.0574,"1976-2021","England","All"
17,2004,369,2.11,2.13,0.0574,"1976-2021","England","All"
17,2005,392,2.08,2.1,0.0574,"1976-2021","England","All"
17,2006,414,2.38,2.4,0.0572,"1976-2021","England","All"
17,2007,480,2.03,2.05,0.0574,"1976-2021","England","All"
17,2008,514,1.96,1.98,0.0574,"1976-2021","England","All"
17,2009,625,2.14,2.17,0.0573,"1976-2021","England","All"
17,2010,646,2.33,2.35,0.0572,"1976-2021","England","All"
17,2011,669,2.16,2.19,0.0573,"1976-2021","England","All"
17,2012,669,1.91,1.94,0.0574,"1976-2021","England","All"
17,2013,722,2.25,2.28,0.0572,"1976-2021","England","All"
17,2014,778,2.24,2.26,0.0572,"1976-2021","England","All"
17,2015,870,2.25,2.27,0.0572,"1976-2021","England","All"
17,2016,908,1.99,2.01,0.0573,"1976-2021","England","All"
